0	0
0	5
2	5
4	1
5	0
8	1
3	6
6	5
11	2
2	8
2	0
8	0
7	4
5	8
3	7
2	15
5	13
14	1
1	13
2	4
6	7
0	16
7	3
8	11
18	1
3	0
10	9
14	3
19	1
4	15
7	14
11	3
8	12
3	2
8	16
0	24
15	9
4	5
0	25
12	2
8	3
7	16
0	22
0	3
3	19
8	10
5	14
25	1
6	15
5	17
5	21
4	12
8	4
13	13
9	3
9	2
11	10
1	8
1	12
10	15
2	13
16	1
1	11
5	9
0	26
1	4
6	13
9	11
7	8
16	10
11	14
7	18
20	6
12	9
0	20
3	5
21	7
8	17
27	3
10	13
9	9
13	7
4	0
19	11
8	23
5	4
11	20
1	2
5	19
25	5
17	3
10	18
19	9
9	22
0	29
1	6
0	27
5	27
20	7
21	1
1	33
22	3
4	29
20	4
13	14
18	8
13	15
5	10
21	0
12	12
2	29
30	2
11	18
0	33
26	9
9	5
24	0
3	14
0	15
26	3
5	20
21	11
3	18
1	28
21	9
30	5
0	30
11	25
16	5
0	8
26	1
2	7
1	10
1	27
0	4
21	12
17	5
1	3
16	4
9	4
11	12
1	7
7	9
2	20
2	18
0	36
7	19
14	14
3	22
17	1
10	10
13	20
15	14
4	25
4	3
1	31
7	29
5	29
32	2
38	1
20	15
8	15
7	12
13	25
10	19
22	1
13	21
10	14
1	1
23	11
8	2
14	17
2	2
13	6
3	30
10	11
21	19
19	0
24	2
30	4
12	21
24	10
1	20
8	8
1	41
15	2
4	14
32	10
29	0
21	6
11	19
25	7
7	23
8	24
37	5
11	9
25	13
16	17
6	27
11	24
5	18
17	20
8	6
10	12
12	10
12	18
12	13
5	33
14	5
6	3
3	1
35	7
8	28
39	1
11	21
13	9
2	19
1	17
10	6
23	4
6	33
7	37
3	42
13	29
14	30
33	4
17	11
21	5
0	11
9	30
11	7
13	26
5	39
9	23
2	27
25	8
13	23
24	11
42	3
17	6
12	1
12	4
41	0
6	36
10	23
19	25
21	15
0	13
28	3
3	24
38	9
26	12
0	6
4	43
0	18
14	0
29	5
13	12
33	5
31	8
19	12
19	19
0	21
22	26
22	2
8	37
10	0
13	33
0	38
34	14
0	10
3	41
4	38
45	0
16	8
3	28
4	8
24	20
34	4
3	43
0	9
11	17
32	16
10	29
26	5
7	13
30	0
34	10
26	21
32	14
28	4
7	2
20	20
25	0
39	5
17	17
2	42
24	17
3	36
15	13
3	47
29	10
41	10
7	40
6	6
20	27
25	18
44	7
5	36
8	32
2	35
4	26
8	14
37	12
14	22
14	21
35	15
24	18
15	30
15	35
37	10
16	29
5	3
30	10
1	16
15	20
19	14
10	22
42	6
14	7
9	39
29	18
1	18
34	11
8	25
3	15
26	17
6	40
19	2
17	34
3	50
23	9
32	3
26	26
35	17
14	19
10	38
14	32
24	9
5	16
3	10
19	16
15	1
3	26
46	5
50	4
35	12
14	35
37	16
28	17
31	21
0	51
26	6
3	44
26	7
30	22
25	21
25	17
28	9
1	48
30	20
4	46
0	46
3	32
4	50
18	10
9	29
8	31
8	34
38	6
20	17
27	24
19	13
7	6
15	40
2	46
16	27
16	18
8	20
38	12
11	15
36	12
39	12
12	24
19	22
14	34
24	29
23	22
21	17
2	44
24	16
24	15
13	19
14	9
13	34
28	26
36	8
6	51
4	34
18	17
6	48
11	33
39	2
24	32
36	17
39	17
25	4
45	2
1	34
30	24
22	31
26	15
1	47
23	12
43	12
4	13
44	12
24	12
20	1
16	22
37	7
7	45
31	23
45	11
12	41
7	41
26	0
30	25
36	13
0	50
31	6
25	10
20	18
11	39
44	9
4	22
25	25
6	20
47	5
18	19
5	43
9	36
0	12
24	19
14	25
14	16
